Temperature (K),Pressure (bar),Density (kg/m3)
273.000,0.000,0.000
273.000,0.500,2.902
273.000,1.000,5.824
273.000,1.500,8.765
273.000,2.000,11.728
273.000,2.500,14.711
273.000,3.000,17.716
273.000,3.500,20.743
273.000,4.000,23.792
273.000,4.500,26.863
273.000,5.000,29.957
273.000,5.500,33.075
273.000,6.000,36.218
273.000,6.500,39.384
273.000,7.000,42.576
273.000,7.500,45.794
273.000,8.000,49.037
273.000,8.500,52.308
273.000,9.000,55.605
273.000,9.500,58.931
273.000,10.000,62.285
273.000,10.500,65.669
273.000,11.000,69.082
273.000,11.500,72.527
273.000,12.000,76.002
273.000,12.500,79.510
273.000,13.000,83.051
273.000,13.500,86.626
273.000,14.000,90.236
273.000,14.500,93.881
273.000,15.000,97.563
273.000,15.500,101.280
273.000,16.000,105.040
273.000,16.500,108.840
273.000,17.000,112.680
273.000,17.500,116.560
273.000,18.000,120.480
273.000,18.500,124.450
273.000,19.000,128.470
273.000,19.500,132.530
273.000,20.000,136.640
273.000,20.500,140.800
273.000,21.000,145.010
273.000,21.500,149.280
273.000,22.000,153.600
273.000,22.500,157.990
273.000,23.000,162.430
273.000,23.500,166.930
273.000,24.000,171.500
273.000,24.500,176.130
273.000,25.000,180.840
273.000,25.500,185.610
273.000,26.000,190.470
273.000,26.500,195.400
273.000,27.000,200.410
273.000,27.500,205.510
273.000,28.000,210.700
273.000,28.500,215.980
273.000,29.000,221.360
273.000,29.500,226.850
273.000,30.000,232.440
274.000,0.000,0.000
274.000,0.500,2.891
274.000,1.000,5.802
274.000,1.500,8.733
274.000,2.000,11.683
274.000,2.500,14.655
274.000,3.000,17.648
274.000,3.500,20.662
274.000,4.000,23.697
274.000,4.500,26.755
274.000,5.000,29.836
274.000,5.500,32.940
274.000,6.000,36.068
274.000,6.500,39.220
274.000,7.000,42.396
274.000,7.500,45.598
274.000,8.000,48.825
274.000,8.500,52.079
274.000,9.000,55.359
274.000,9.500,58.667
274.000,10.000,62.003
274.000,10.500,65.368
274.000,11.000,68.762
274.000,11.500,72.186
274.000,12.000,75.641
274.000,12.500,79.127
274.000,13.000,82.646
274.000,13.500,86.198
274.000,14.000,89.784
274.000,14.500,93.405
274.000,15.000,97.061
274.000,15.500,100.750
274.000,16.000,104.480
274.000,16.500,108.250
274.000,17.000,112.060
274.000,17.500,115.910
274.000,18.000,119.810
274.000,18.500,123.740
274.000,19.000,127.720
274.000,19.500,131.750
274.000,20.000,135.820
274.000,20.500,139.950
274.000,21.000,144.120
274.000,21.500,148.350
274.000,22.000,152.630
274.000,22.500,156.960
274.000,23.000,161.350
274.000,23.500,165.810
274.000,24.000,170.320
274.000,24.500,174.900
274.000,25.000,179.550
274.000,25.500,184.270
274.000,26.000,189.060
274.000,26.500,193.920
274.000,27.000,198.860
274.000,27.500,203.890
274.000,28.000,209.000
274.000,28.500,214.200
274.000,29.000,219.490
274.000,29.500,224.880
274.000,30.000,230.380
275.000,0.000,0.000
275.000,0.500,2.881
275.000,1.000,5.780
275.000,1.500,8.700
275.000,2.000,11.639
275.000,2.500,14.599
275.000,3.000,17.579
275.000,3.500,20.581
275.000,4.000,23.604
275.000,4.500,26.649
275.000,5.000,29.716
275.000,5.500,32.806
275.000,6.000,35.920
275.000,6.500,39.057
275.000,7.000,42.218
275.000,7.500,45.404
275.000,8.000,48.616
275.000,8.500,51.853
275.000,9.000,55.116
275.000,9.500,58.406
275.000,10.000,61.724
275.000,10.500,65.070
275.000,11.000,68.445
275.000,11.500,71.849
275.000,12.000,75.284
275.000,12.500,78.749
275.000,13.000,82.246
275.000,13.500,85.775
275.000,14.000,89.338
275.000,14.500,92.934
275.000,15.000,96.566
275.000,15.500,100.230
275.000,16.000,103.940
275.000,16.500,107.680
275.000,17.000,111.460
275.000,17.500,115.280
275.000,18.000,119.140
275.000,18.500,123.050
275.000,19.000,126.990
275.000,19.500,130.980
275.000,20.000,135.020
275.000,20.500,139.110
275.000,21.000,143.240
275.000,21.500,147.430
275.000,22.000,151.660
275.000,22.500,155.960
275.000,23.000,160.300
275.000,23.500,164.710
275.000,24.000,169.170
275.000,24.500,173.700
275.000,25.000,178.290
275.000,25.500,182.950
275.000,26.000,187.680
275.000,26.500,192.480
275.000,27.000,197.350
275.000,27.500,202.310
275.000,28.000,207.340
275.000,28.500,212.470
275.000,29.000,217.680
275.000,29.500,222.980
275.000,30.000,228.380
276.000,0.000,0.000
276.000,0.500,2.870
276.000,1.000,5.759
276.000,1.500,8.667
276.000,2.000,11.595
276.000,2.500,14.543
276.000,3.000,17.512
276.000,3.500,20.501
276.000,4.000,23.511
276.000,4.500,26.543
276.000,5.000,29.597
276.000,5.500,32.674
276.000,6.000,35.773
276.000,6.500,38.895
276.000,7.000,42.042
276.000,7.500,45.212
276.000,8.000,48.408
276.000,8.500,51.629
276.000,9.000,54.875
276.000,9.500,58.148
276.000,10.000,61.448
276.000,10.500,64.776
276.000,11.000,68.132
276.000,11.500,71.516
276.000,12.000,74.931
276.000,12.500,78.375
276.000,13.000,81.851
276.000,13.500,85.358
276.000,14.000,88.897
276.000,14.500,92.470
276.000,15.000,96.077
276.000,15.500,99.719
276.000,16.000,103.400
276.000,16.500,107.110
276.000,17.000,110.860
276.000,17.500,114.650
276.000,18.000,118.490
276.000,18.500,122.360
276.000,19.000,126.270
276.000,19.500,130.230
276.000,20.000,134.230
276.000,20.500,138.280
276.000,21.000,142.380
276.000,21.500,146.520
276.000,22.000,150.720
276.000,22.500,154.970
276.000,23.000,159.270
276.000,23.500,163.630
276.000,24.000,168.050
276.000,24.500,172.520
276.000,25.000,177.060
276.000,25.500,181.660
276.000,26.000,186.330
276.000,26.500,191.070
276.000,27.000,195.880
276.000,27.500,200.770
